poll_interval_id,poll_date,next_poll_date,afd_support_t,party_clean,party_support_t,party_support_t_minus_1,party_support_change,party_support_change_abs,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,is_mainstream_party,is_afd,afd_proximity_ordinal,afd_proximity_label,share_environment_of_party_speeches,share_migration_of_party_speeches,share_society_of_party_speeches,share_civil_rights_of_party_speeches,share_cosmopolitanism_of_party_speeches,n_mainstream_speeches,n_mainstream_speeches_environment,n_mainstream_speeches_migration,n_mainstream_speeches_society,n_mainstream_speeches_civil_rights,n_mainstream_speeches_cosmopolitanism,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,share_party_of_mainstream_environment_speeches,share_party_of_mainstream_migration_speeches,share_party_of_mainstream_society_speeches,share_party_of_mainstream_civil_rights_speeches,share_party_of_mainstream_cosmopolitanism_speeches,government_label_interval,is_government,is_opposition,wahlperiode,wahlperiode_cat,poll_year,poll_month,interval_length_days,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd
0,2017-10-12,2017-10-20,11,cdu/csu,32.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,4.0,CDU/CSU,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0,2017-10-12,2017-10-20,11,fdp,11.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,3.0,FDP,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0,2017-10-12,2017-10-20,11,grüne,10.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,1.0,Bündnis 90/Die Grünen,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0,2017-10-12,2017-10-20,11,linke,10.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,0.0,Die Linke,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0,2017-10-12,2017-10-20,11,spd,20.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,2.0,SPD,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
1,2017-10-20,2017-11-09,12,cdu/csu,31.0,32.0,-1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0,0,0,0,0,1,0,656.0,True,False,4.0,CDU/CSU,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Regierung,1.0,0.0,19,WP19,2017,10,20,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.6666666666666667,5.0,,2.0,2.0,1.0,,,,,
1,2017-10-20,2017-11-09,12,fdp,12.0,11.0,1.0,1.0,0.3333333333333333,1.0,,0.0,1.0,0.0,,,,,,0,0,0,0,0,1,0,479.0,True,False,3.0,FDP,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Opposition,0.0,1.0,19,WP19,2017,10,20,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.3333333333333335,4.0,,2.0,1.0,1.0,,,,,
1,2017-10-20,2017-11-09,12,grüne,11.0,10.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0,0,0,0,0,2,0,894.0,True,False,1.0,Bündnis 90/Die Grünen,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Opposition,0.0,1.0,19,WP19,2017,10,20,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.6666666666666667,5.0,,2.0,2.0,1.0,,,,,
1,2017-10-20,2017-11-09,12,linke,9.0,10.0,-1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,,,,2.0,0.0,0,0,0,1,1,1,1,646.0,True,False,0.0,Die Linke,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,1,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,,,,1.0,1.0,Opposition,0.0,1.0,19,WP19,2017,10,20,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.3333333333333335,4.0,6.666666666666667,1.0,2.0,1.0,,,,5.0,8.0
1,2017-10-20,2017-11-09,12,spd,21.0,20.0,1.0,1.0,0.6666666666666666,2.0,,1.0,1.0,0.0,,,,,,0,0,0,0,0,1,0,559.0,True,False,2.0,SPD,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Regierung,1.0,0.0,19,WP19,2017,10,20,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,,,,
2,2017-11-09,2017-11-17,13,cdu/csu,30.0,31.0,-1.0,1.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,4.0,CDU/CSU,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,11,8,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,2017-11-09,2017-11-17,13,fdp,12.0,12.0,0.0,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,3.0,FDP,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,11,8,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,2017-11-09,2017-11-17,13,grüne,11.0,11.0,0.0,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,1.0,Bündnis 90/Die Grünen,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,11,8,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,2017-11-09,2017-11-17,13,linke,9.0,9.0,0.0,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,0.0,Die Linke,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,11,8,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,2017-11-09,2017-11-17,13,spd,21.0,21.0,0.0,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,2.0,SPD,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,11,8,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,2017-11-17,2017-11-20,12,cdu/csu,31.0,30.0,1.0,1.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,4.0,CDU/CSU,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,11,3,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,2017-11-17,2017-11-20,12,fdp,11.0,12.0,-1.0,1.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,3.0,FDP,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,11,3,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,2017-11-17,2017-11-20,12,grüne,11.0,11.0,0.0,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,1.0,Bündnis 90/Die Grünen,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,11,3,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,2017-11-17,2017-11-20,12,linke,10.0,9.0,1.0,1.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,0.0,Die Linke,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,11,3,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,2017-11-17,2017-11-20,12,spd,21.0,21.0,0.0,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,2.0,SPD,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,11,3,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
4,2017-11-20,2017-12-07,11,cdu/csu,32.0,31.0,1.0,1.0,0.07017543859649122,0.21052631578947367,2.074712643678161,0.02631578947368421,0.15789473684210525,0.02631578947368421,2.7142857142857144,3.25,,1.0,1.7037037037037037,7,12,0,2,27,38,29,694.7631578947369,True,False,4.0,CDU/CSU,0.18421052631578946,0.3157894736842105,0.0,0.05263157894736842,0.7105263157894737,116,17,35,0,10,83,0.0603448275862069,0.10344827586206896,0.0,0.017241379310344827,0.23275862068965517,0.4117647058823529,0.34285714285714286,,0.2,0.3253012048192771,Regierung,1.0,0.0,19,WP19,2017,11,17,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.6131578947368421,1.8394736842105261,4.451603145795524,0.6736842105263158,0.8921052631578947,0.27368421052631575,6.535714285714286,3.8928571428571432,,3.5,5.033138401559453
4,2017-11-20,2017-12-07,11,fdp,10.0,11.0,-1.0,1.0,0.1111111111111111,0.3333333333333333,2.0357142857142856,0.05555555555555555,0.2777777777777778,0.0,7.0,1.7142857142857142,,2.0,1.8461538461538463,1,7,0,1,13,18,14,579.8888888888889,True,False,3.0,FDP,0.05555555555555555,0.3888888888888889,0.0,0.05555555555555555,0.7222222222222222,116,17,35,0,10,83,0.008620689655172414,0.0603448275862069,0.0,0.008620689655172414,0.11206896551724138,0.058823529411764705,0.2,,0.1,0.1566265060240964,Opposition,0.0,1.0,19,WP19,2017,11,17,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.5722222222222222,1.7166666666666666,4.4906015037593985,0.6444444444444444,0.7722222222222223,0.3,2.25,5.428571428571429,,2.5,4.890688259109311
4,2017-11-20,2017-12-07,11,grüne,11.0,11.0,0.0,0.0,0.18518518518518517,0.5555555555555556,1.1666666666666667,0.16666666666666666,0.3888888888888889,0.0,1.25,1.6666666666666667,,2.0,0.8571428571428571,4,3,0,2,14,18,15,614.1111111111111,True,False,1.0,Bündnis 90/Die Grünen,0.2222222222222222,0.16666666666666666,0.0,0.1111111111111111,0.7777777777777778,116,17,35,0,10,83,0.034482758620689655,0.02586206896551724,0.0,0.017241379310344827,0.1206896551724138,0.23529411764705882,0.08571428571428572,,0.2,0.1686746987951807,Opposition,0.0,1.0,19,WP19,2017,11,17,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.4981481481481482,1.4944444444444442,5.359649122807017,0.5333333333333333,0.6611111111111112,0.3,8.0,5.476190476190476,,2.5,5.879699248120301
4,2017-11-20,2017-12-07,11,linke,10.0,10.0,0.0,0.0,0.5185185185185185,1.5555555555555556,1.9038461538461537,0.3888888888888889,0.9444444444444444,0.2222222222222222,0.0,3.2857142857142856,,1.5,1.4615384615384615,2,7,0,4,13,18,13,581.2777777777778,True,False,0.0,Die Linke,0.1111111111111111,0.3888888888888889,0.0,0.2222222222222222,0.7222222222222222,116,17,35,0,10,83,0.017241379310344827,0.0603448275862069,0.0,0.034482758620689655,0.11206896551724138,0.11764705882352941,0.2,,0.4,0.1566265060240964,Opposition,0.0,1.0,19,WP19,2017,11,17,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.16481481481481486,0.49444444444444424,4.62246963562753,0.31111111111111106,0.10555555555555562,0.07777777777777778,9.25,3.8571428571428577,,3.0,5.275303643724696
4,2017-11-20,2017-12-07,11,spd,22.0,21.0,1.0,1.0,0.2222222222222222,0.6666666666666666,1.6111111111111112,0.25,0.4166666666666667,0.0,1.6666666666666667,2.6666666666666665,,1.0,1.5625,3,6,0,1,16,24,18,720.25,True,False,2.0,SPD,0.125,0.25,0.0,0.041666666666666664,0.6666666666666666,116,17,35,0,10,83,0.02586206896551724,0.05172413793103448,0.0,0.008620689655172414,0.13793103448275862,0.17647058823529413,0.17142857142857143,,0.1,0.1927710843373494,Regierung,1.0,0.0,19,WP19,2017,11,17,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.46111111111111114,1.3833333333333333,4.9152046783625725,0.44999999999999996,0.6333333333333333,0.3,7.583333333333333,4.476190476190476,,3.5,5.1743421052631575
5,2017-12-07,2017-12-15,13,cdu/csu,32.0,32.0,0.0,0.0,0.08163265306122448,0.24489795918367346,3.2094017094017095,0.02040816326530612,0.1836734693877551,0.04081632653061224,5.0,4.777777777777778,,3.8125,2.107142857142857,3,9,0,16,28,49,39,694.1836734693877,True,False,4.0,CDU/CSU,0.061224489795918366,0.1836734693877551,0.0,0.32653061224489793,0.5714285714285714,149,17,28,6,42,89,0.020134228187919462,0.06040268456375839,0.0,0.10738255033557047,0.18791946308724833,0.17647058823529413,0.32142857142857145,0.0,0.38095238095238093,0.3146067415730337,Regierung,1.0,0.0,19,WP19,2017,12,8,0.893939393939394,2.6818181818181817,6.508771929824562,1.0,1.3636363636363635,0.3181818181818182,8.0,6.285714285714286,,7.0,6.764705882352941,22,19,2,7,0,8,17,0.09090909090909091,0.3181818181818182,0.0,0.36363636363636365,0.7727272727272727,0.8123067408781696,2.4369202226345084,3.299370220422852,0.9795918367346939,1.1799628942486085,0.27736549165120594,3.0,1.507936507936508,,3.1875,4.657563025210084
5,2017-12-07,2017-12-15,13,fdp,9.0,10.0,-1.0,1.0,0.11666666666666665,0.35,2.6927083333333335,0.0,0.3,0.05,5.0,4.0,7.0,2.8333333333333335,2.142857142857143,2,5,1,6,14,20,16,567.8,True,False,3.0,FDP,0.1,0.25,0.05,0.3,0.7,149,17,28,6,42,89,0.013422818791946308,0.03355704697986577,0.006711409395973154,0.040268456375838924,0.09395973154362416,0.11764705882352941,0.17857142857142858,0.16666666666666666,0.14285714285714285,0.15730337078651685,Opposition,0.0,1.0,19,WP19,2017,12,8,0.893939393939394,2.6818181818181817,6.508771929824562,1.0,1.3636363636363635,0.3181818181818182,8.0,6.285714285714286,,7.0,6.764705882352941,22,19,2,7,0,8,17,0.09090909090909091,0.3181818181818182,0.0,0.36363636363636365,0.7727272727272727,0.7772727272727273,2.3318181818181816,3.816063596491228,1.0,1.0636363636363635,0.2681818181818182,3.0,2.2857142857142856,,4.166666666666666,4.621848739495798
5,2017-12-07,2017-12-15,13,grüne,11.0,11.0,0.0,0.0,0.21739130434782608,0.6521739130434783,1.3676470588235294,0.043478260869565216,0.5652173913043478,0.043478260869565216,1.75,1.5,0.0,1.5714285714285714,1.0769230769230769,4,4,2,7,13,23,17,523.9565217391304,True,False,1.0,Bündnis 90/Die Grünen,0.17391304347826086,0.17391304347826086,0.08695652173913043,0.30434782608695654,0.5652173913043478,149,17,28,6,42,89,0.026845637583892617,0.026845637583892617,0.013422818791946308,0.04697986577181208,0.087248322147651,0.23529411764705882,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.14606741573033707,Opposition,0.0,1.0,19,WP19,2017,12,8,0.893939393939394,2.6818181818181817,6.508771929824562,1.0,1.3636363636363635,0.3181818181818182,8.0,6.285714285714286,,7.0,6.764705882352941,22,19,2,7,0,8,17,0.09090909090909091,0.3181818181818182,0.0,0.36363636363636365,0.7727272727272727,0.676548089591568,2.029644268774703,5.141124871001033,0.9565217391304348,0.7984189723320158,0.27470355731225293,6.25,4.785714285714286,,5.428571428571429,5.6877828054298645
5,2017-12-07,2017-12-15,13,linke,10.0,10.0,0.0,0.0,0.5072463768115941,1.5217391304347827,1.9270833333333333,0.43478260869565216,0.9130434782608695,0.17391304347826086,0.3333333333333333,3.0,0.5,1.2,1.8461538461538463,3,5,2,5,13,23,16,495.2608695652174,True,False,0.0,Die Linke,0.13043478260869565,0.21739130434782608,0.08695652173913043,0.21739130434782608,0.5652173913043478,149,17,28,6,42,89,0.020134228187919462,0.03355704697986577,0.013422818791946308,0.03355704697986577,0.087248322147651,0.17647058823529413,0.17857142857142858,0.3333333333333333,0.11904761904761904,0.14606741573033707,Opposition,0.0,1.0,19,WP19,2017,12,8,0.893939393939394,2.6818181818181817,6.508771929824562,1.0,1.3636363636363635,0.3181818181818182,8.0,6.285714285714286,,7.0,6.764705882352941,22,19,2,7,0,8,17,0.09090909090909091,0.3181818181818182,0.0,0.36363636363636365,0.7727272727272727,0.3866930171277999,1.160079051383399,4.581688596491229,0.5652173913043479,0.450592885375494,0.1442687747035573,7.666666666666667,3.2857142857142856,,5.8,4.918552036199095
5,2017-12-07,2017-12-15,13,spd,21.0,22.0,-1.0,1.0,0.22549019607843135,0.6764705882352942,1.0480769230769231,0.14705882352941177,0.4411764705882353,0.08823529411764706,0.6,1.8,0.0,1.625,1.0,5,5,1,8,21,34,26,626.0588235294117,True,False,2.0,SPD,0.14705882352941177,0.14705882352941177,0.029411764705882353,0.23529411764705882,0.6176470588235294,149,17,28,6,42,89,0.03355704697986577,0.03355704697986577,0.006711409395973154,0.053691275167785234,0.14093959731543623,0.29411764705882354,0.17857142857142858,0.16666666666666666,0.19047619047619047,0.23595505617977527,Regierung,1.0,0.0,19,WP19,2017,12,8,0.893939393939394,2.6818181818181817,6.508771929824562,1.0,1.3636363636363635,0.3181818181818182,8.0,6.285714285714286,,7.0,6.764705882352941,22,19,2,7,0,8,17,0.09090909090909091,0.3181818181818182,0.0,0.36363636363636365,0.7727272727272727,0.6684491978609627,2.0053475935828873,5.460695006747638,0.8529411764705882,0.9224598930481283,0.2299465240641711,7.4,4.485714285714286,,5.375,5.764705882352941
6,2017-12-15,2018-01-04,13,cdu/csu,32.0,32.0,0.0,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,4.0,CDU/CSU,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,12,20,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6,2017-12-15,2018-01-04,13,fdp,9.0,9.0,0.0,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,3.0,FDP,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,12,20,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6,2017-12-15,2018-01-04,13,grüne,12.0,11.0,1.0,1.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,1.0,Bündnis 90/Die Grünen,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,12,20,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6,2017-12-15,2018-01-04,13,linke,9.0,10.0,-1.0,1.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,0.0,Die Linke,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,12,20,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6,2017-12-15,2018-01-04,13,spd,20.0,21.0,-1.0,1.0,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,2.0,SPD,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,12,20,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7,2018-01-04,2018-01-26,13,cdu/csu,33.0,32.0,1.0,1.0,0.18181818181818182,0.5454545454545454,3.328125,0.11363636363636363,0.20454545454545456,0.22727272727272727,2.3333333333333335,5.666666666666667,3.75,3.7142857142857144,2.814814814814815,6,18,4,14,27,44,32,749.2272727272727,True,False,4.0,CDU/CSU,0.13636363636363635,0.4090909090909091,0.09090909090909091,0.3181818181818182,0.6136363636363636,127,25,48,15,38,72,0.047244094488188976,0.14173228346456693,0.031496062992125984,0.11023622047244094,0.2125984251968504,0.24,0.375,0.26666666666666666,0.3684210526315789,0.375,Regierung,1.0,0.0,19,WP19,2018,1,22,1.1587301587301586,3.4761904761904763,8.033333333333333,1.0952380952380953,1.4761904761904763,0.9047619047619048,7.4,8.571428571428571,8.25,7.7,8.31578947368421,21,20,5,14,8,10,19,0.23809523809523808,0.6666666666666666,0.38095238095238093,0.47619047619047616,0.9047619047619048,0.9769119769119767,2.930735930735931,4.705208333333333,0.9816017316017317,1.2716450216450217,0.6774891774891775,5.066666666666666,2.904761904761904,4.5,3.9857142857142858,5.500974658869396
7,2018-01-04,2018-01-26,13,fdp,9.0,9.0,0.0,0.0,0.1568627450980392,0.47058823529411764,2.7777777777777777,0.17647058823529413,0.23529411764705882,0.058823529411764705,4.166666666666667,3.125,0.5,1.75,1.9,6,8,2,4,10,17,15,641.5882352941177,True,False,3.0,FDP,0.35294117647058826,0.47058823529411764,0.11764705882352941,0.23529411764705882,0.5882352941176471,127,25,48,15,38,72,0.047244094488188976,0.06299212598425197,0.015748031496062992,0.031496062992125984,0.07874015748031496,0.24,0.16666666666666666,0.13333333333333333,0.10526315789473684,0.1388888888888889,Opposition,0.0,1.0,19,WP19,2018,1,22,1.1587301587301586,3.4761904761904763,8.033333333333333,1.0952380952380953,1.4761904761904763,0.9047619047619048,7.4,8.571428571428571,8.25,7.7,8.31578947368421,21,20,5,14,8,10,19,0.23809523809523808,0.6666666666666666,0.38095238095238093,0.47619047619047616,0.9047619047619048,1.0018674136321195,3.0056022408963585,5.2555555555555555,0.9187675070028012,1.2408963585434174,0.84593837535014,3.2333333333333334,5.446428571428571,7.75,5.95,6.41578947368421
